AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_INGRESSANTES_ID_PESSOA,CONTAGEM_INGRESSOS_ID_PESSOA_PROGRAMA
2015,5,GEOCIÊNCIAS,1182,1186
2015,6,CIÊNCIAS BIOLÓGICAS I,1422,1426
2015,7,BIODIVERSIDADE,2630,2640
2015,8,CIÊNCIAS BIOLÓGICAS II,1585,1587
2015,9,CIÊNCIAS BIOLÓGICAS III,749,749
2015,10,ENGENHARIAS I,2903,2913
2015,11,ARTES / MÚSICA,1338,1340
2015,12,ENGENHARIAS II,2841,2860
2015,13,ENGENHARIAS III,3931,3938
2015,14,ENGENHARIAS IV,2810,2815
2015,15,MEDICINA I,2601,2602
2015,16,MEDICINA II,2087,2087
2015,17,MEDICINA III,796,796
2015,18,ODONTOLOGIA,2384,2385
2015,19,FARMÁCIA,1311,1313
2015,20,ENFERMAGEM,1844,1852
2015,21,EDUCAÇÃO FÍSICA,1592,1596
2015,22,SAÚDE COLETIVA,1843,1845
2015,23,ZOOTECNIA / RECURSOS PESQUEIROS,1491,1495
2015,24,MEDICINA VETERINÁRIA,1733,1735
2015,25,CIÊNCIA DE ALIMENTOS,1073,1074
2015,26,DIREITO,3743,3748
2015,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",4354,4361
2015,28,ECONOMIA,1383,1384
2015,29,"ARQUITETURA, URBANISMO E DESIGN",1302,1302
2015,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,733,733
2015,31,COMUNICAÇÃO E INFORMAÇÃO,1626,1628
2015,32,SERVIÇO SOCIAL,616,617
2015,33,FILOSOFIA,960,966
2015,34,SOCIOLOGIA,1286,1288
2015,35,ANTROPOLOGIA / ARQUEOLOGIA,590,592
2015,36,GEOGRAFIA,1501,1504
2015,37,PSICOLOGIA,2247,2250
2015,38,EDUCAÇÃO,6031,6038
2015,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,767,767
2015,40,HISTÓRIA,1861,1871
2015,41,LETRAS / LINGUÍSTICA,5323,5341
2015,42,CIÊNCIAS AGRÁRIAS I,5117,5138
2015,44,TEOLOGIA,612,612
2015,45,INTERDISCIPLINAR,6567,6574
2015,46,ENSINO,2826,2828
2015,47,MATERIAIS,698,700
2015,48,BIOTECNOLOGIA,1155,1156
2015,49,CIÊNCIAS AMBIENTAIS,2176,2188
2015,50,NUTRIÇÃO,446,446
2016,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,2435,2443
2016,2,CIÊNCIA DA COMPUTAÇÃO,2766,2780
2016,3,ASTRONOMIA / FÍSICA,1849,1857
2016,4,QUÍMICA,2126,2134
2016,5,GEOCIÊNCIAS,1242,1245
2016,6,CIÊNCIAS BIOLÓGICAS I,1264,1266
2016,7,BIODIVERSIDADE,2422,2423
2016,8,CIÊNCIAS BIOLÓGICAS II,1593,1593
2016,9,CIÊNCIAS BIOLÓGICAS III,715,715
2016,10,ENGENHARIAS I,3219,3247
2016,11,ARTES / MÚSICA,1509,1509
2016,12,ENGENHARIAS II,3030,3054
2016,13,ENGENHARIAS III,3973,3989
2016,14,ENGENHARIAS IV,3105,3114
2016,15,MEDICINA I,2538,2542
2016,16,MEDICINA II,2250,2250
2016,17,MEDICINA III,848,848
2016,18,ODONTOLOGIA,2577,2581
2016,19,FARMÁCIA,1298,1298
2016,20,ENFERMAGEM,1824,1827
2016,21,EDUCAÇÃO FÍSICA,1762,1763
2016,22,SAÚDE COLETIVA,1850,1852
2016,23,ZOOTECNIA / RECURSOS PESQUEIROS,1478,1480
2016,24,MEDICINA VETERINÁRIA,1777,1777
2016,25,CIÊNCIA DE ALIMENTOS,1167,1171
2016,26,DIREITO,3676,3689
2016,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",4978,5003
2016,28,ECONOMIA,1606,1609
2016,29,"ARQUITETURA, URBANISMO E DESIGN",1469,1475
2016,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,878,878
2016,31,COMUNICAÇÃO E INFORMAÇÃO,1804,1819
2016,32,SERVIÇO SOCIAL,652,655
2016,33,FILOSOFIA,865,870
2016,34,SOCIOLOGIA,1325,1327
2016,35,ANTROPOLOGIA / ARQUEOLOGIA,589,591
2016,36,GEOGRAFIA,1546,1552
2016,37,PSICOLOGIA,2411,2415
2016,38,EDUCAÇÃO,6449,6460
2016,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,870,871
2016,40,HISTÓRIA,2285,2294
2016,41,LETRAS / LINGUÍSTICA,4951,4966
2016,42,CIÊNCIAS AGRÁRIAS I,4926,4947
2016,44,TEOLOGIA,646,647
2016,45,INTERDISCIPLINAR,7209,7216
2016,46,ENSINO,2809,2810
2016,47,MATERIAIS,749,749
2016,48,BIOTECNOLOGIA,1252,1254
2016,49,CIÊNCIAS AMBIENTAIS,2415,2416
2016,50,NUTRIÇÃO,491,491
2017,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,2482,2493
2017,2,CIÊNCIA DA COMPUTAÇÃO,2742,2755
2017,3,ASTRONOMIA / FÍSICA,1765,1780
2017,4,QUÍMICA,2336,2343
2017,5,GEOCIÊNCIAS,1310,1317
2017,6,CIÊNCIAS BIOLÓGICAS I,1730,1739
2017,7,BIODIVERSIDADE,2565,2595
2017,8,CIÊNCIAS BIOLÓGICAS II,1620,1623
2017,9,CIÊNCIAS BIOLÓGICAS III,754,755
2017,10,ENGENHARIAS I,3382,3410
2017,11,ARTES,1390,1393
2017,12,ENGENHARIAS II,2993,3015
2017,13,ENGENHARIAS III,4366,4374
2017,14,ENGENHARIAS IV,3354,3365
2017,15,MEDICINA I,2646,2646
2017,16,MEDICINA II,2260,2260
2017,17,MEDICINA III,967,971
2017,18,ODONTOLOGIA,2765,2780
2017,19,FARMÁCIA,1328,1328
2017,20,ENFERMAGEM,2121,2121
2017,21,EDUCAÇÃO FÍSICA,1761,1763
2017,22,SAÚDE COLETIVA,2388,2391
