ANO,PROGRAMAS_PROXY_TESES,PROGRAMAS_PROXY_DISCENTES,RATIO_DISCENTES_DIV_TESES
2004,85,103,1.211765
2005,94,119,1.265957
2006,107,146,1.364486
2007,121,160,1.322314
2008,144,188,1.305556
2009,166,205,1.234940
2010,175,169,0.965714
2011,153,204,1.333333
2012,173,236,1.364162
