NM_SUBAREA_CONHECIMENTO,CD_AREA_AVALIACAO,CS_STATUS_JURIDICO,DS_DEPENDENCIA_ADMINISTRATIVA,NM_REGIAO,SG_UF_PROGRAMA,NM_MUNICIPIO_PROGRAMA_IES,NM_MODALIDADE_PROGRAMA,NM_PROGRAMA_IES,CD_CONCEITO_PROGRAMA,AN_INICIO_PROGRAMA,DS_SITUACAO_PROGRAMA
NÃO SE APLICA,11,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,ARTES VISUAIS,5,2011,EM FUNCIONAMENTO
ENSINO DE CIÊNCIAS E MATEMÁTICA,46,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,MULTIUNIDADES EM ENSINO DE CIÊNCIAS E MATEMÁTICA,4,2011,EM FUNCIONAMENTO
"SOCIAIS, CULTURAS E HUMANIDADES",45,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,POLÍTICA CIENTÍFICA E TECNOLÓGICA,6,1988,EM FUNCIONAMENTO
NÃO SE APLICA,15,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,FISIOPATOLOGIA MÉDICA,7,2002,EM FUNCIONAMENTO
NÃO SE APLICA,22,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,PROFISSIONAL,SAÚDE COLETIVA: POLÍTICAS E GESTÃO EM SAÚDE,4,2012,EM FUNCIONAMENTO
NÃO SE APLICA,7,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,ECOLOGIA,5,1976,EM FUNCIONAMENTO
NÃO SE APLICA,28,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,CIÊNCIA ECONÔMICA,6,1974,EM FUNCIONAMENTO
NÃO SE APLICA,14,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,ENGENHARIA ELÉTRICA,7,1972,EM FUNCIONAMENTO
NÃO SE APLICA,35,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,ANTROPOLOGIA SOCIAL,6,1971,EM FUNCIONAMENTO
CLÍNICA MÉDICA,16,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,SAÚDE DA CRIANÇA E DO ADOLESCENTE,5,1988,EM FUNCIONAMENTO
NÃO SE APLICA,11,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,ARTES DA CENA,6,2011,EM FUNCIONAMENTO
NÃO SE APLICA,31,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,MULTIMEIOS,5,1986,EM FUNCIONAMENTO
CLÍNICA MÉDICA,15,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,CIÊNCIAS MÉDICAS,5,1979,EM FUNCIONAMENTO
ENGENHARIA DE ALIMENTOS,25,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,ENGENHARIA DE ALIMENTOS,7,1969,EM FUNCIONAMENTO
NÃO SE APLICA,15,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,ENSINO EM SAÚDE,A,2024,EM FUNCIONAMENTO
NÃO SE APLICA,21,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,EDUCAÇÃO FÍSICA,5,1988,EM FUNCIONAMENTO
NÃO SE APLICA,15,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,PROFISSIONAL,HEMOTERAPIA E HEMATOLOGIA,3,2016,EM FUNCIONAMENTO
NÃO SE APLICA,41,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,LINGÜÍSTICA,7,1971,EM FUNCIONAMENTO
NÃO SE APLICA,1,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,PROFISSIONAL,MATEMÁTICA APLICADA E COMPUTACIONAL,4,2006,EM FUNCIONAMENTO
CLÍNICA MÉDICA,15,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,CLÍNICA MÉDICA,5,1992,EM FUNCIONAMENTO
NÃO SE APLICA,19,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,CIÊNCIAS FARMACÊUTICAS,4,2011,EM FUNCIONAMENTO
NÃO SE APLICA,1,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,MATEMÁTICA,7,1972,EM FUNCIONAMENTO
NÃO SE APLICA,5,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,GEOCIÊNCIAS,6,1983,EM FUNCIONAMENTO
NÃO SE APLICA,25,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,ALIMENTOS E NUTRIÇÃO,6,1987,EM FUNCIONAMENTO
NÃO SE APLICA,20,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,ENFERMAGEM,5,1999,EM FUNCIONAMENTO
NÃO SE APLICA,13,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,CIÊNCIAS E ENGENHARIA DE PETRÓLEO,5,1999,EM FUNCIONAMENTO
