NM_SUBAREA_CONHECIMENTO,CD_AREA_AVALIACAO,CS_STATUS_JURIDICO,DS_DEPENDENCIA_ADMINISTRATIVA,NM_REGIAO,SG_UF_PROGRAMA,NM_MUNICIPIO_PROGRAMA_IES,NM_MODALIDADE_PROGRAMA,NM_PROGRAMA_IES,CD_CONCEITO_PROGRAMA,AN_INICIO_PROGRAMA,DS_SITUACAO_PROGRAMA
NÃO SE APLICA,7,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,ACADÊMICO,CONSERVAÇÃO E USO DE RECURSOS NATURAIS,3,2019,EM FUNCIONAMENTO
NÃO SE APLICA,41,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,ACADÊMICO,LETRAS,4,2010,EM FUNCIONAMENTO
NÃO SE APLICA,27,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,ACADÊMICO,ADMINISTRAÇÃO E CONTABILIDADE,A,2024,EM FUNCIONAMENTO
NÃO SE APLICA,33,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,ACADÊMICO,FILOSOFIA,3,2019,EM FUNCIONAMENTO
ENSINO DE CIÊNCIAS E MATEMÁTICA,46,FEDERAL,PÚBLICA,NORTE,RO,ROLIM DE MOURA,ACADÊMICO,ENSINO DE CIÊNCIAS DA NATUREZA - PPGECN,3,2017,EM FUNCIONAMENTO
NÃO SE APLICA,38,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,PROFISSIONAL,EDUCAÇÃO ESCOLAR,4,2014,EM FUNCIONAMENTO
NÃO SE APLICA,36,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,ACADÊMICO,GEOGRAFIA,4,2006,EM FUNCIONAMENTO
NÃO SE APLICA,49,FEDERAL,PÚBLICA,NORTE,RO,ROLIM DE MOURA,ACADÊMICO,CIÊNCIAS AMBIENTAIS,3,2013,EM FUNCIONAMENTO
NÃO SE APLICA,38,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,ACADÊMICO,EDUCAÇÃO,4,2010,EM FUNCIONAMENTO
"SOCIAIS, CULTURAS E HUMANIDADES",45,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,PROFISSIONAL,DIREITOS HUMANOS E DESENVOLVIMENTO DA JUSTIÇA,4,2017,EM FUNCIONAMENTO
NÃO SE APLICA,37,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,ACADÊMICO,PSICOLOGIA,4,2009,EM FUNCIONAMENTO
POLÍTICAS E DESENVOLVIMENTO DE TERRITÓRIOS,45,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,ACADÊMICO,DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE,4,1999,EM FUNCIONAMENTO
POLÍTICAS E DESENVOLVIMENTO DE TERRITÓRIOS,45,FEDERAL,PÚBLICA,NORTE,RO,ROLIM DE MOURA,ACADÊMICO,AGROECOSSISTEMAS AMAZÔNICOS,3,2020,EM FUNCIONAMENTO
ENSINO DE CIÊNCIAS E MATEMÁTICA,46,FEDERAL,PÚBLICA,NORTE,RO,JI-PARANÁ,ACADÊMICO,EDUCAÇÃO MATEMÁTICA,3,2019,EM FUNCIONAMENTO
NÃO SE APLICA,27,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,ACADÊMICO,ADMINISTRAÇÃO,3,2006,EM FUNCIONAMENTO
LITERATURA COMPARADA,41,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,ACADÊMICO,ESTUDOS LITERÁRIOS,4,2011,EM FUNCIONAMENTO
HISTÓRIA DO BRASIL,40,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,ACADÊMICO,HISTÓRIA DA AMAZÔNIA,A,2021,EM FUNCIONAMENTO
NÃO SE APLICA,31,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,ACADÊMICO,COMUNICAÇÃO,A,2024,EM FUNCIONAMENTO
ANATOMIA PATOLÓGICA E PATOLOGIA CLÍNICA,16,FEDERAL,PÚBLICA,NORTE,AC,RIO BRANCO,ACADÊMICO,CIÊNCIAS DA SAÚDE NA AMAZÔNIA OCIDENTAL,3,2016,EM FUNCIONAMENTO
NÃO SE APLICA,38,FEDERAL,PÚBLICA,NORTE,AC,RIO BRANCO,ACADÊMICO,EDUCAÇÃO,4,2014,EM FUNCIONAMENTO
NÃO SE APLICA,24,FEDERAL,PÚBLICA,NORTE,AC,RIO BRANCO,ACADÊMICO,SANIDADE E PRODUÇÃO ANIMAL SUSTENTÁVEL NA AMAZÔNIA OCIDENTAL,4,2014,EM FUNCIONAMENTO
NÃO SE APLICA,11,FEDERAL,PÚBLICA,NORTE,AC,RIO BRANCO,ACADÊMICO,ARTES CÊNICAS,3,2019,EM FUNCIONAMENTO
NÃO SE APLICA,36,FEDERAL,PÚBLICA,NORTE,AC,RIO BRANCO,ACADÊMICO,GEOGRAFIA,3,2019,EM FUNCIONAMENTO
ENSINO DE CIÊNCIAS E MATEMÁTICA,46,FEDERAL,PÚBLICA,NORTE,AC,RIO BRANCO,PROFISSIONAL,ENSINO DE CIÊNCIAS E MATEMÁTICA,4,2014,EM FUNCIONAMENTO
NÃO SE APLICA,42,FEDERAL,PÚBLICA,NORTE,AC,RIO BRANCO,ACADÊMICO,CIÊNCIA FLORESTAL,3,2016,EM FUNCIONAMENTO
NÃO SE APLICA,7,FEDERAL,PÚBLICA,NORTE,AC,RIO BRANCO,ACADÊMICO,ECOLOGIA E MANEJO DE RECURSOS NATURAIS,3,1996,EM FUNCIONAMENTO
NÃO SE APLICA,46,FEDERAL,PÚBLICA,NORTE,AC,CRUZEIRO DO SUL,ACADÊMICO,ENSINO DE HUMANIDADES E LINGUAGENS,3,2018,EM FUNCIONAMENTO
NÃO SE APLICA,22,FEDERAL,PÚBLICA,NORTE,AC,RIO BRANCO,ACADÊMICO,SAÚDE COLETIVA,4,2008,EM FUNCIONAMENTO
NÃO SE APLICA,49,FEDERAL,PÚBLICA,NORTE,AC,CRUZEIRO DO SUL,ACADÊMICO,CIÊNCIAS AMBIENTAIS,3,2019,EM FUNCIONAMENTO
POLÍTICAS E DESENVOLVIMENTO DE TERRITÓRIOS,45,FEDERAL,PÚBLICA,NORTE,AC,RIO BRANCO,ACADÊMICO,"CIÊNCIA, INOVAÇÃO E TECNOLOGIA PARA A AMAZÔNIA",4,2011,EM FUNCIONAMENTO
NÃO SE APLICA,42,FEDERAL,PÚBLICA,NORTE,AC,RIO BRANCO,ACADÊMICO,PRODUÇÃO VEGETAL,4,2006,EM FUNCIONAMENTO
NÃO SE APLICA,2,FEDERAL,PÚBLICA,NORTE,AC,RIO BRANCO,ACADÊMICO,CIÊNCIA DA COMPUTAÇÃO,3,2018,EM FUNCIONAMENTO
NÃO SE APLICA,41,FEDERAL,PÚBLICA,NORTE,AC,RIO BRANCO,ACADÊMICO,LETRAS- LINGUAGEM E IDENTIDADE,5,2006,EM FUNCIONAMENTO
NÃO SE APLICA,9,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,ACADÊMICO,BIOLOGIA EXPERIMENTAL,4,2001,EM FUNCIONAMENTO
NÃO SE APLICA,26,PARTICULAR,PRIVADA,NORTE,RO,PORTO VELHO,PROFISSIONAL,DIREITO,A,2024,EM FUNCIONAMENTO
NÃO SE APLICA,31,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,INFORMAÇÃO E COMUNICAÇÃO (PPGIC),A,2024,EM FUNCIONAMENTO
NÃO SE APLICA,32,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,SERVIÇO SOCIAL,4,2007,EM FUNCIONAMENTO
NÃO SE APLICA,5,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,GEOCIÊNCIAS,3,2000,EM FUNCIONAMENTO
NÃO SE APLICA,49,FEDERAL,PÚBLICA,NORTE,AM,HUMAITÁ,ACADÊMICO,CIÊNCIAS AMBIENTAIS,3,2015,EM FUNCIONAMENTO
NÃO SE APLICA,37,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,PSICOLOGIA,4,2009,EM FUNCIONAMENTO
NÃO SE APLICA,4,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,QUÍMICA,4,1987,EM FUNCIONAMENTO
NÃO SE APLICA,36,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,GEOGRAFIA,4,2007,EM FUNCIONAMENTO
NÃO SE APLICA,26,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,DIREITO,3,2019,EM FUNCIONAMENTO
NÃO SE APLICA,2,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,INFORMÁTICA,6,2001,EM FUNCIONAMENTO
NÃO SE APLICA,18,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,ODONTOLOGIA,4,2012,EM FUNCIONAMENTO
CIRURGIA,17,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,PROFISSIONAL,CIRURGIA,3,2015,EM FUNCIONAMENTO
NÃO SE APLICA,20,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,PROFISSIONAL,ENFERMAGEM NO CONTEXTO AMAZÔNICO,3,2019,EM FUNCIONAMENTO
NÃO SE APLICA,46,FEDERAL,PÚBLICA,NORTE,AM,HUMAITÁ,ACADÊMICO,ENSINO DE CIÊNCIAS E HUMANIDADES,4,2017,EM FUNCIONAMENTO
NÃO SE APLICA,47,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,CIÊNCIA E ENGENHARIA DE MATERIAIS,4,2009,EM FUNCIONAMENTO
NÃO SE APLICA,35,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,ANTROPOLOGIA SOCIAL,4,2008,EM FUNCIONAMENTO
NÃO SE APLICA,49,FEDERAL,PÚBLICA,NORTE,AM,ITACOATIARA,ACADÊMICO,CIÊNCIA E TECNOLOGIA PARA RECURSOS AMAZÔNICOS,3,2012,EM FUNCIONAMENTO
NÃO SE APLICA,13,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,ENGENHARIA MECÂNICA,A,2024,EM FUNCIONAMENTO
NÃO SE APLICA,34,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,SOCIOLOGIA,A,2024,EM FUNCIONAMENTO
NÃO SE APLICA,13,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,PROFISSIONAL,ENGENHARIA DE PRODUÇÃO,3,1999,EM FUNCIONAMENTO
NÃO SE APLICA,42,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,CIÊNCIAS FLORESTAIS E AMBIENTAIS,4,2003,EM FUNCIONAMENTO
NÃO SE APLICA,42,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,AGRONOMIA TROPICAL,4,1995,EM FUNCIONAMENTO
NÃO SE APLICA,48,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,BIOTECNOLOGIA,4,2001,EM FUNCIONAMENTO
ENSINO DE CIÊNCIAS E MATEMÁTICA,46,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,ENSINO DE CIÊNCIAS E MATEMÁTICA,3,2014,EM FUNCIONAMENTO
NÃO SE APLICA,1,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,MATEMÁTICA,4,1998,EM FUNCIONAMENTO
NÃO SE APLICA,49,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,CIÊNCIAS DO AMBIENTE E SUSTENTABILIDADE NA AMAZÔNIA,4,2000,EM FUNCIONAMENTO
NÃO SE APLICA,19,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,CIÊNCIAS FARMACÊUTICAS,3,2009,EM FUNCIONAMENTO
NÃO SE APLICA,3,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,FÍSICA,4,1999,EM FUNCIONAMENTO
NÃO SE APLICA,14,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,ENGENHARIA ELÉTRICA,4,2005,EM FUNCIONAMENTO
"SOCIAIS, CULTURAS E HUMANIDADES",45,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,SOCIEDADE E CULTURA NA AMAZÔNIA,4,1998,EM FUNCIONAMENTO
NÃO SE APLICA,29,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,PROFISSIONAL,DESIGN,4,2017,EM FUNCIONAMENTO
NÃO SE APLICA,38,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,EDUCAÇÃO,4,1987,EM FUNCIONAMENTO
NÃO SE APLICA,7,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,ZOOLOGIA,4,2016,EM FUNCIONAMENTO
NÃO SE APLICA,23,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,CIÊNCIA ANIMAL E RECURSOS PESQUEIROS,4,2007,EM FUNCIONAMENTO
NÃO SE APLICA,40,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,HISTÓRIA,4,2006,EM FUNCIONAMENTO
NÃO SE APLICA,28,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,PROFISSIONAL,ECONOMIA,A,2024,EM FUNCIONAMENTO
NÃO SE APLICA,21,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,CIÊNCIAS DO MOVIMENTO HUMANO,A,2021,EM FUNCIONAMENTO
NÃO SE APLICA,41,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,LETRAS,3,2010,EM FUNCIONAMENTO
NÃO SE APLICA,9,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,IMUNOLOGIA BÁSICA E APLICADA,4,2009,EM FUNCIONAMENTO
NÃO SE APLICA,7,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,CIÊNCIAS BIOLÓGICAS (BOTÂNICA),4,1973,EM FUNCIONAMENTO
NÃO SE APLICA,7,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,CIÊNCIAS BIOLÓGICAS (ENTOMOLOGIA),5,1976,EM FUNCIONAMENTO
NÃO SE APLICA,6,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,"GENÉTICA, CONSERVAÇÃO E BIOLOGIA EVOLUTIVA",5,2003,EM FUNCIONAMENTO
NÃO SE APLICA,7,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,BIOLOGIA (ECOLOGIA),7,1976,EM FUNCIONAMENTO
NÃO SE APLICA,5,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,CLIMA E AMBIENTE - INPA - UEA,4,2007,EM FUNCIONAMENTO
NÃO SE APLICA,7,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,CIÊNCIAS BIOLÓGICAS,5,1976,EM FUNCIONAMENTO
NÃO SE APLICA,42,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,AGRICULTURA NO TRÓPICO ÚMIDO,4,2002,EM FUNCIONAMENTO
CONSERVAÇÃO DA NATUREZA,42,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,PROFISSIONAL,GESTÃO DE ÁREAS PROTEGIDAS NA AMAZÔNIA,3,2010,EM FUNCIONAMENTO
MANEJO FLORESTAL,42,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,CIÊNCIAS DE FLORESTAS TROPICAIS,5,1980,EM FUNCIONAMENTO
NÃO SE APLICA,46,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,PROFISSIONAL,ENSINO TECNOLÓGICO,4,2014,EM FUNCIONAMENTO
NÃO SE APLICA,23,PARTICULAR,PRIVADA,NORTE,AM,MANAUS,ACADÊMICO,AQUICULTURA,4,2010,EM FUNCIONAMENTO
NÃO SE APLICA,36,ESTADUAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,GEOGRAFIA,A,2024,EM FUNCIONAMENTO
NÃO SE APLICA,22,ESTADUAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,SAÚDE COLETIVA,A,2021,EM FUNCIONAMENTO
NÃO SE APLICA,14,ESTADUAL,PÚBLICA,NORTE,AM,MANAUS,PROFISSIONAL,ENGENHARIA ELÉTRICA,A,2024,EM FUNCIONAMENTO
CLÍNICA MÉDICA,16,ESTADUAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,HEMATOLOGIA,3,2013,EM FUNCIONAMENTO
"SOCIAIS, CULTURAS E HUMANIDADES",45,ESTADUAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,CIÊNCIAS HUMANAS,4,2016,EM FUNCIONAMENTO
NÃO SE APLICA,26,ESTADUAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,DIREITO AMBIENTAL,4,2003,EM FUNCIONAMENTO
"SOCIAIS, CULTURAS E HUMANIDADES",45,ESTADUAL,PÚBLICA,NORTE,AM,MANAUS,PROFISSIONAL,"SEGURANÇA PÚBLICA, CIDADANIA E DIREITOS HUMANOS",3,2012,EM FUNCIONAMENTO
NÃO SE APLICA,38,ESTADUAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,EDUCAÇÃO,3,2020,EM FUNCIONAMENTO
NÃO SE APLICA,15,ESTADUAL,PÚBLICA,NORTE,AM,MANAUS,PROFISSIONAL,CIÊNCIAS APLICADAS À DERMATOLOGIA,3,2017,EM FUNCIONAMENTO
NÃO SE APLICA,48,ESTADUAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,BIOTECNOLOGIA E RECURSOS NATURAIS DA AMAZÔNIA,3,2003,EM FUNCIONAMENTO
ENFERMAGEM DE SAÚDE PÚBLICA,20,ESTADUAL,PÚBLICA,NORTE,AM,MANAUS,PROFISSIONAL,ENFERMAGEM EM SAÚDE PÚBLICA,4,2018,EM FUNCIONAMENTO
CLÍNICA MÉDICA,16,ESTADUAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,MEDICINA TROPICAL,5,2002,EM FUNCIONAMENTO
NÃO SE APLICA,41,ESTADUAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,LETRAS E ARTES,4,2015,EM FUNCIONAMENTO
ENSINO DE CIÊNCIAS E MATEMÁTICA,46,ESTADUAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,EDUCAÇÃO EM CIÊNCIAS NA AMAZÔNIA,5,2011,EM FUNCIONAMENTO
NÃO SE APLICA,31,FEDERAL,PÚBLICA,NORTE,RR,BOA VISTA,ACADÊMICO,COMUNICAÇÃO,3,2019,EM FUNCIONAMENTO
SAÚDE E BIOLÓGICAS,45,FEDERAL,PÚBLICA,NORTE,RR,BOA VISTA,PROFISSIONAL,CIÊNCIAS DA SAÚDE,4,2011,EM FUNCIONAMENTO
NÃO SE APLICA,35,FEDERAL,PÚBLICA,NORTE,RR,BOA VISTA,ACADÊMICO,ANTROPOLOGIA SOCIAL,3,2016,EM FUNCIONAMENTO
NÃO SE APLICA,49,FEDERAL,PÚBLICA,NORTE,RR,BOA VISTA,ACADÊMICO,RECURSOS NATURAIS,4,2004,EM FUNCIONAMENTO
"SOCIAIS, CULTURAS E HUMANIDADES",45,FEDERAL,PÚBLICA,NORTE,RR,BOA VISTA,ACADÊMICO,SOCIEDADE E FRONTEIRAS,3,2012,EM FUNCIONAMENTO
NÃO SE APLICA,42,FEDERAL,PÚBLICA,NORTE,RR,BOA VISTA,ACADÊMICO,AGRONOMIA,4,2007,EM FUNCIONAMENTO
NÃO SE APLICA,36,FEDERAL,PÚBLICA,NORTE,RR,BOA VISTA,ACADÊMICO,GEOGRAFIA,4,2011,EM FUNCIONAMENTO
SAÚDE E BIOLÓGICAS,45,FEDERAL,PÚBLICA,NORTE,RR,BOA VISTA,ACADÊMICO,SAÚDE E BIODIVERSIDADE,A,2021,EM FUNCIONAMENTO
NÃO SE APLICA,41,FEDERAL,PÚBLICA,NORTE,RR,BOA VISTA,ACADÊMICO,LETRAS,4,2010,EM FUNCIONAMENTO
NÃO SE APLICA,38,FEDERAL,PÚBLICA,NORTE,RR,BOA VISTA,ACADÊMICO,EDUCAÇÃO,3,2019,EM FUNCIONAMENTO
NÃO SE APLICA,38,ESTADUAL,PÚBLICA,NORTE,RR,BOA VISTA,ACADÊMICO,EDUCAÇÃO,3,2014,EM FUNCIONAMENTO
"SOCIAIS, CULTURAS E HUMANIDADES",45,ESTADUAL,PÚBLICA,NORTE,RR,BOA VISTA,PROFISSIONAL,"SEGURANÇA PÚBLICA, DIREITOS HUMANOS E CIDADANIA",3,2016,EM FUNCIONAMENTO
NÃO SE APLICA,49,ESTADUAL,PÚBLICA,NORTE,RR,BOA VISTA,ACADÊMICO,"AGROECOLOGIA, AMBIENTE, SOCIEDADE E AMAZÔNIA (PPGAASA)",3,2014,EM FUNCIONAMENTO
ENSINO DE CIÊNCIAS E MATEMÁTICA,46,ESTADUAL,PÚBLICA,NORTE,RR,BOA VISTA,PROFISSIONAL,ENSINO DE CIÊNCIAS E MATEMÁTICA,5,2012,EM FUNCIONAMENTO
"ENGENHARIA, TECNOLOGIA E GESTÃO",45,PARTICULAR,PRIVADA,NORTE,AM,MANAUS,PROFISSIONAL,"ENGENHARIA, GESTÃO DE PROCESSOS, SISTEMAS E AMBIENTAL",A,2020,EM FUNCIONAMENTO
NÃO SE APLICA,22,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,SAÚDE PÚBLICA NA AMAZÔNIA,4,2020,EM FUNCIONAMENTO
NÃO SE APLICA,22,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,CONDIÇÕES DE VIDA E SITUAÇÕES DE SAÚDE NA AMAZÔNIA,3,2015,EM FUNCIONAMENTO
NÃO SE APLICA,9,FEDERAL,PÚBLICA,NORTE,AM,MANAUS,ACADÊMICO,BIOLOGIA DA INTERAÇÃO PATÓGENO HOSPEDEIRO,4,2017,EM FUNCIONAMENTO
NÃO SE APLICA,29,PARTICULAR,PRIVADA,NORTE,AM,MANAUS,PROFISSIONAL,DESIGN DE ARTEFATOS DIGITAIS,3,2016,EM FUNCIONAMENTO
POLÍTICA INTERNACIONAL,39,FEDERAL,PÚBLICA,NORTE,AP,MACAPÁ,PROFISSIONAL,ESTUDOS DE FRONTEIRA,4,2017,EM FUNCIONAMENTO
NÃO SE APLICA,7,FEDERAL,PÚBLICA,NORTE,AP,MACAPÁ,ACADÊMICO,BIODIVERSIDADE TROPICAL,5,2006,EM FUNCIONAMENTO
NÃO SE APLICA,40,FEDERAL,PÚBLICA,NORTE,AP,MACAPÁ,ACADÊMICO,HISTÓRIA,3,2019,EM FUNCIONAMENTO
SAÚDE E BIOLÓGICAS,45,FEDERAL,PÚBLICA,NORTE,AP,MACAPÁ,ACADÊMICO,CIÊNCIAS DA SAÚDE,3,2010,EM FUNCIONAMENTO
NÃO SE APLICA,19,FEDERAL,PÚBLICA,NORTE,AP,MACAPÁ,ACADÊMICO,CIÊNCIAS FARMACÊUTICAS,3,2013,EM FUNCIONAMENTO
NÃO SE APLICA,26,FEDERAL,PÚBLICA,NORTE,AP,MACAPÁ,ACADÊMICO,DIREITO,A,2024,EM FUNCIONAMENTO
NÃO SE APLICA,38,FEDERAL,PÚBLICA,NORTE,AP,MACAPÁ,ACADÊMICO,EDUCAÇÃO,4,2017,EM FUNCIONAMENTO
NÃO SE APLICA,49,FEDERAL,PÚBLICA,NORTE,AP,MACAPÁ,ACADÊMICO,CIÊNCIAS AMBIENTAIS,3,2017,EM FUNCIONAMENTO
"SOCIAIS, CULTURAS E HUMANIDADES",45,FEDERAL,PÚBLICA,NORTE,AP,MACAPÁ,PROFISSIONAL,ESTUDOS DE CULTURA E POLÍTICA,A,2024,EM FUNCIONAMENTO
NÃO SE APLICA,30,FEDERAL,PÚBLICA,NORTE,AP,MACAPÁ,ACADÊMICO,DESENVOLVIMENTO DA AMAZÔNIA SUSTENTÁVEL,3,2006,EM FUNCIONAMENTO
NÃO SE APLICA,36,FEDERAL,PÚBLICA,NORTE,AP,MACAPÁ,ACADÊMICO,GEOGRAFIA,3,2019,EM FUNCIONAMENTO
NÃO SE APLICA,41,FEDERAL,PÚBLICA,NORTE,AP,MACAPÁ,ACADÊMICO,LETRAS,3,2019,EM FUNCIONAMENTO
NÃO SE APLICA,18,FEDERAL,PÚBLICA,NORTE,PA,BELÉM,ACADÊMICO,ODONTOLOGIA,4,2003,EM FUNCIONAMENTO
NÃO SE APLICA,8,FEDERAL,PÚBLICA,NORTE,PA,BELÉM,ACADÊMICO,NEUROCIÊNCIAS E BIOLOGIA CELULAR,5,2004,EM FUNCIONAMENTO
GEOTÉCNICA,10,FEDERAL,PÚBLICA,NORTE,PA,TUCURUÍ,PROFISSIONAL,ENGENHARIA DE BARRAGEM E GESTÃO AMBIENTAL,3,2016,EM FUNCIONAMENTO
"SOCIAIS, CULTURAS E HUMANIDADES",45,FEDERAL,PÚBLICA,NORTE,PA,BELÉM,ACADÊMICO,ESTUDOS EM ETNODIVERSIDADE,A,2024,EM FUNCIONAMENTO
CLÍNICA MÉDICA,15,FEDERAL,PÚBLICA,NORTE,PA,BELÉM,PROFISSIONAL,ATENÇÃO E ESTUDO CLÍNICO NO DIABETES,3,2020,EM FUNCIONAMENTO
ENSINO DE CIÊNCIAS E MATEMÁTICA,46,FEDERAL,PÚBLICA,NORTE,PA,BELÉM,ACADÊMICO,EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICAS,5,2001,EM FUNCIONAMENTO
ENSINO DE CIÊNCIAS E MATEMÁTICA,46,FEDERAL,PÚBLICA,NORTE,PA,BELÉM,ACADÊMICO,EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICA - UFMT - UFPA - UEA,5,2010,EM FUNCIONAMENTO
NÃO SE APLICA,24,FEDERAL,PÚBLICA,NORTE,PA,CASTANHAL,ACADÊMICO,SAÚDE ANIMAL NA AMAZÔNIA,4,2009,EM FUNCIONAMENTO
PSICOLOGIA FISIOLÓGICA,37,FEDERAL,PÚBLICA,NORTE,PA,BELÉM,ACADÊMICO,NEUROCIÊNCIAS E COMPORTAMENTO,4,2014,EM FUNCIONAMENTO
NÃO SE APLICA,13,FEDERAL,PÚBLICA,NORTE,PA,BELÉM,PROFISSIONAL,ENGENHARIA INDUSTRIAL,3,2012,EM FUNCIONAMENTO
GEOGRAFIA REGIONAL,36,FEDERAL,PÚBLICA,NORTE,PA,BELÉM,ACADÊMICO,GEOGRAFIA,5,2004,EM FUNCIONAMENTO
NÃO SE APLICA,13,FEDERAL,PÚBLICA,NORTE,PA,BELÉM,PROFISSIONAL,ENGENHARIA DE PROCESSOS,3,2013,EM FUNCIONAMENTO
NÃO SE APLICA,5,FEDERAL,PÚBLICA,NORTE,PA,BELÉM,PROFISSIONAL,RECURSOS HÍDRICOS,3,2015,EM FUNCIONAMENTO
CLÍNICA MÉDICA,16,FEDERAL,PÚBLICA,NORTE,PA,BELÉM,ACADÊMICO,DOENÇAS TROPICAIS,5,1994,EM FUNCIONAMENTO
NÃO SE APLICA,22,FEDERAL,PÚBLICA,NORTE,PA,BELÉM,ACADÊMICO,SAÚDE COLETIVA NA AMAZÔNIA,3,2014,EM FUNCIONAMENTO
POLÍTICAS E DESENVOLVIMENTO DE TERRITÓRIOS,45,FEDERAL,PÚBLICA,NORTE,PA,BELÉM,ACADÊMICO,DESENVOLVIMENTO SUSTENTÁVEL DO TRÓPICO ÚMIDO,7,1977,EM FUNCIONAMENTO
