CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,NM_AREA_AVALIACAO_ABREVIADA,GRANDE_AREA_CAPES_SITE,COLEGIO_CAPES_SITE,CONTAGEM_PROGRAMAS_2024,IS_AREA_45,MESMA_GRANDE_AREA_AREA45,MESMO_COLEGIO_AREA45
13,ENGENHARIAS III,ENG. III,ENGENHARIAS,"CIÊNCIAS EXATAS, TECNOLÓGICAS E MULTIDISCIPLINAR",119,0,0,1
14,ENGENHARIAS IV,ENG. IV,ENGENHARIAS,"CIÊNCIAS EXATAS, TECNOLÓGICAS E MULTIDISCIPLINAR",89,0,0,1
15,MEDICINA I,MED. I,CIÊNCIAS DA SAÚDE,CIÊNCIAS DA VIDA,111,0,0,0
16,MEDICINA II,MED. II,CIÊNCIAS DA SAÚDE,CIÊNCIAS DA VIDA,106,0,0,0
17,MEDICINA III,MED. III,CIÊNCIAS DA SAÚDE,CIÊNCIAS DA VIDA,51,0,0,0
18,ODONTOLOGIA,ODONTOLOGIA,CIÊNCIAS DA SAÚDE,CIÊNCIAS DA VIDA,98,0,0,0
19,FARMÁCIA,FARMÁCIA,CIÊNCIAS DA SAÚDE,CIÊNCIAS DA VIDA,70,0,0,0
20,ENFERMAGEM,ENFERMAGEM,CIÊNCIAS DA SAÚDE,CIÊNCIAS DA VIDA,80,0,0,0
21,"EDUCAÇÃO FÍSICA, FISIOTERAPIA, FONOAUDIOLOGIA E TERAPIA OCUPACIONAL","ED. FÍS., FISIO, FONO E T.O.",CIÊNCIAS DA SAÚDE,CIÊNCIAS DA VIDA,82,0,0,0
22,SAÚDE COLETIVA,SAÚDE COLETIVA,CIÊNCIAS DA SAÚDE,CIÊNCIAS DA VIDA,98,0,0,0
23,ZOOTECNIA / RECURSOS PESQUEIROS,ZOOTEC. / REC. PESQ.,CIÊNCIAS AGRÁRIAS,CIÊNCIAS DA VIDA,61,0,0,0
24,MEDICINA VETERINÁRIA,MED. VET.,CIÊNCIAS AGRÁRIAS,CIÊNCIAS DA VIDA,87,0,0,0
25,CIÊNCIA DE ALIMENTOS,C. ALIMENTOS,CIÊNCIAS AGRÁRIAS,CIÊNCIAS DA VIDA,57,0,0,0
26,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS,HUMANIDADES,135,0,0,0
27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","ADM. PÚB./EMP., C. CONT. E TUR.",CIÊNCIAS SOCIAIS APLICADAS,HUMANIDADES,182,0,0,0
28,ECONOMIA,ECONOMIA,CIÊNCIAS SOCIAIS APLICADAS,HUMANIDADES,76,0,0,0
29,"ARQUITETURA, URBANISMO E DESIGN","ARQ., URB. E DESIGN",CIÊNCIAS SOCIAIS APLICADAS,HUMANIDADES,62,0,0,0
30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,PLAN. URB. / DEMOG.,CIÊNCIAS SOCIAIS APLICADAS,HUMANIDADES,49,0,0,0
31,COMUNICAÇÃO E INFORMAÇÃO,COMUN. E INF.,CIÊNCIAS SOCIAIS APLICADAS,HUMANIDADES,93,0,0,0
32,SERVIÇO SOCIAL,SERVIÇO SOCIAL,CIÊNCIAS SOCIAIS APLICADAS,HUMANIDADES,36,0,0,0
33,FILOSOFIA,FILOSOFIA,CIÊNCIAS HUMANAS,HUMANIDADES,54,0,0,0
34,SOCIOLOGIA,SOCIOLOGIA,CIÊNCIAS HUMANAS,HUMANIDADES,52,0,0,0
35,ANTROPOLOGIA / ARQUEOLOGIA,ANTROP. / ARQUEOL.,CIÊNCIAS HUMANAS,HUMANIDADES,38,0,0,0
36,GEOGRAFIA,GEOGRAFIA,CIÊNCIAS HUMANAS,HUMANIDADES,80,0,0,0
37,PSICOLOGIA,PSICOLOGIA,CIÊNCIAS HUMANAS,HUMANIDADES,100,0,0,0
38,EDUCAÇÃO,EDUCAÇÃO,CIÊNCIAS HUMANAS,HUMANIDADES,192,0,0,0
39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,C. POLÍTICA E REL. INT.,CIÊNCIAS HUMANAS,HUMANIDADES,64,0,0,0
40,HISTÓRIA,HISTÓRIA,CIÊNCIAS HUMANAS,HUMANIDADES,80,0,0,0
41,LINGUÍSTICA E LITERATURA,LING. E LIT.,"LINGUÍSTICA, LETRAS E ARTES",HUMANIDADES,155,0,0,0
42,CIÊNCIAS AGRÁRIAS I,C. AGR. I,CIÊNCIAS AGRÁRIAS,CIÊNCIAS DA VIDA,215,0,0,0
44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,C. RELIG. E TEOL.,CIÊNCIAS HUMANAS,HUMANIDADES,22,0,0,0
45,INTERDISCIPLINAR,INTERDISC.,MULTIDISCIPLINAR,"CIÊNCIAS EXATAS, TECNOLÓGICAS E MULTIDISCIPLINAR",372,1,1,1
46,ENSINO,ENSINO,MULTIDISCIPLINAR,"CIÊNCIAS EXATAS, TECNOLÓGICAS E MULTIDISCIPLINAR",179,0,1,1
47,MATERIAIS,MATERIAIS,MULTIDISCIPLINAR,"CIÊNCIAS EXATAS, TECNOLÓGICAS E MULTIDISCIPLINAR",45,0,1,1
48,BIOTECNOLOGIA,BIOTEC.,MULTIDISCIPLINAR,"CIÊNCIAS EXATAS, TECNOLÓGICAS E MULTIDISCIPLINAR",62,0,1,1
49,CIÊNCIAS AMBIENTAIS,C. AMBIENTAIS,MULTIDISCIPLINAR,"CIÊNCIAS EXATAS, TECNOLÓGICAS E MULTIDISCIPLINAR",136,0,1,1
50,NUTRIÇÃO,NUTRIÇÃO,CIÊNCIAS DA SAÚDE,CIÊNCIAS DA VIDA,34,0,0,0
51,CIÊNCIAS E HUMANIDADES PARA A EDUCAÇÃO BÁSICA,C. HUM. P/ EDUC. BÁS.,MULTIDISCIPLINAR,"CIÊNCIAS EXATAS, TECNOLÓGICAS E MULTIDISCIPLINAR",13,0,1,1
