AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_INGRESSANTES_ID_PESSOA,CONTAGEM_INGRESSOS_ID_PESSOA_PROGRAMA
2006,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",2720,2777
2006,28,ECONOMIA,1168,1219
2006,29,ARQUITETURA E URBANISMO,863,875
2006,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,426,428
2006,31,CIÊNCIAS SOCIAIS APLICADAS I,957,1015
2006,32,SERVIÇO SOCIAL,810,815
2006,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,610,644
2006,34,SOCIOLOGIA,1120,1170
2006,35,ANTROPOLOGIA / ARQUEOLOGIA,306,318
2006,36,GEOGRAFIA,1145,1172
2006,37,PSICOLOGIA,2127,2260
2006,38,EDUCAÇÃO,3850,3950
2006,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,396,411
2006,40,HISTÓRIA,1595,1693
2006,41,LETRAS / LINGUÍSTICA,3560,3739
2006,42,CIÊNCIAS AGRÁRIAS I,4286,5025
2006,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,290,294
2006,45,INTERDISCIPLINAR,4022,4053
2006,46,ENSINO,767,774
2007,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,684,770
2007,2,CIÊNCIA DA COMPUTAÇÃO,1860,1940
2007,3,ASTRONOMIA / FÍSICA,1008,1115
2007,4,QUÍMICA,1964,2195
2007,5,GEOCIÊNCIAS,979,1039
2007,6,CIÊNCIAS BIOLÓGICAS I,2775,3062
2007,7,BIODIVERSIDADE,882,912
2007,8,CIÊNCIAS BIOLÓGICAS II,1586,1692
2007,9,CIÊNCIAS BIOLÓGICAS III,576,585
2007,10,ENGENHARIAS I,2496,2600
2007,11,ARTES / MÚSICA,942,1011
2007,12,ENGENHARIAS II,2194,2319
2007,13,ENGENHARIAS III,3692,3801
2007,14,ENGENHARIAS IV,2530,2617
2007,15,MEDICINA I,2149,2211
2007,16,MEDICINA II,2809,2874
2007,17,MEDICINA III,1141,1164
2007,18,ODONTOLOGIA,2096,2380
2007,19,FARMÁCIA,1068,1104
2007,20,ENFERMAGEM,1160,1187
2007,21,EDUCAÇÃO FÍSICA,1316,1328
2007,22,SAÚDE COLETIVA,1513,1552
2007,23,ZOOTECNIA / RECURSOS PESQUEIROS,1573,1672
2007,24,MEDICINA VETERINÁRIA,1643,1793
2007,25,CIÊNCIA DE ALIMENTOS,991,1038
2007,26,DIREITO,2597,2643
2007,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",3175,3361
2007,28,ECONOMIA,1302,1359
2007,29,ARQUITETURA E URBANISMO,889,904
2007,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,581,593
2007,31,CIÊNCIAS SOCIAIS APLICADAS I,1034,1053
2007,32,SERVIÇO SOCIAL,789,800
2007,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,620,654
2007,34,SOCIOLOGIA,1264,1356
2007,35,ANTROPOLOGIA / ARQUEOLOGIA,379,388
2007,36,GEOGRAFIA,1427,1481
2007,37,PSICOLOGIA,2436,2602
2007,38,EDUCAÇÃO,4323,4428
2007,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,391,412
2007,40,HISTÓRIA,1837,1911
2007,41,LETRAS / LINGUÍSTICA,3729,4152
2007,42,CIÊNCIAS AGRÁRIAS I,4972,5780
2007,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,384,388
2007,45,INTERDISCIPLINAR,4363,4405
2007,46,ENSINO,1326,1332
2007,47,MATERIAIS,849,852
2007,48,BIOTECNOLOGIA,1789,1790
2008,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,645,723
2008,2,CIÊNCIA DA COMPUTAÇÃO,1781,1872
2008,3,ASTRONOMIA / FÍSICA,832,926
2008,4,QUÍMICA,1611,1778
2008,5,GEOCIÊNCIAS,1030,1080
2008,6,CIÊNCIAS BIOLÓGICAS I,2505,2799
2008,7,BIODIVERSIDADE,1000,1037
2008,8,CIÊNCIAS BIOLÓGICAS II,1432,1515
2008,9,CIÊNCIAS BIOLÓGICAS III,592,598
2008,10,ENGENHARIAS I,2492,2608
2008,11,ARTES / MÚSICA,810,832
2008,12,ENGENHARIAS II,2131,2293
2008,13,ENGENHARIAS III,3422,3585
2008,14,ENGENHARIAS IV,2346,2446
2008,15,MEDICINA I,2381,2457
2008,16,MEDICINA II,2348,2401
2008,17,MEDICINA III,1005,1029
2008,18,ODONTOLOGIA,2014,2178
2008,19,FARMÁCIA,970,1011
2008,20,ENFERMAGEM,1277,1328
2008,21,EDUCAÇÃO FÍSICA,1345,1367
2008,22,SAÚDE COLETIVA,1546,1627
2008,23,ZOOTECNIA / RECURSOS PESQUEIROS,1385,1559
2008,24,MEDICINA VETERINÁRIA,1528,1646
2008,25,CIÊNCIA DE ALIMENTOS,1005,1055
2008,26,DIREITO,2561,2624
2008,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",2949,3076
2008,28,ECONOMIA,1220,1290
2008,29,ARQUITETURA E URBANISMO,800,818
2008,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,575,578
2008,31,CIÊNCIAS SOCIAIS APLICADAS I,1186,1222
2008,32,SERVIÇO SOCIAL,722,734
2008,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,591,629
2008,34,SOCIOLOGIA,1289,1426
2008,35,ANTROPOLOGIA / ARQUEOLOGIA,369,376
2008,36,GEOGRAFIA,1302,1361
2008,37,PSICOLOGIA,2137,2296
2008,38,EDUCAÇÃO,4298,4434
2008,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,476,500
2008,40,HISTÓRIA,1753,1859
2008,41,LETRAS / LINGUÍSTICA,3386,3664
2008,42,CIÊNCIAS AGRÁRIAS I,4651,5522
2008,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,392,397
2008,45,INTERDISCIPLINAR,4615,4677
2008,46,ENSINO,1347,1392
2008,47,MATERIAIS,403,406
2008,48,BIOTECNOLOGIA,740,742
2009,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,634,737
2009,2,CIÊNCIA DA COMPUTAÇÃO,1957,2086
2009,3,ASTRONOMIA / FÍSICA,964,1076
2009,4,QUÍMICA,1737,1947
2009,5,GEOCIÊNCIAS,986,1046
2009,6,CIÊNCIAS BIOLÓGICAS I,2436,2664
2009,7,BIODIVERSIDADE,1000,1035
