AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_PROGRAMAS_DISTINTOS,CONTAGEM_PROGRAMAS_ATIVOS_DISTINTOS
2024,6,CIÊNCIAS BIOLÓGICAS I,61,60
2024,7,BIODIVERSIDADE,141,140
2024,8,CIÊNCIAS BIOLÓGICAS II,77,77
2024,9,CIÊNCIAS BIOLÓGICAS III,37,37
2024,10,ENGENHARIAS I,126,126
2024,11,ARTES,73,73
2024,12,ENGENHARIAS II,94,94
2024,13,ENGENHARIAS III,126,119
2024,14,ENGENHARIAS IV,90,89
2024,15,MEDICINA I,111,111
2024,16,MEDICINA II,108,106
2024,17,MEDICINA III,51,51
2024,18,ODONTOLOGIA,100,98
2024,19,FARMÁCIA,70,70
2024,20,ENFERMAGEM,81,80
2024,21,"EDUCAÇÃO FÍSICA, FISIOTERAPIA, FONOAUDIOLOGIA E TERAPIA OCUPACIONAL",83,82
2024,22,SAÚDE COLETIVA,98,98
2024,23,ZOOTECNIA / RECURSOS PESQUEIROS,62,61
2024,24,MEDICINA VETERINÁRIA,87,87
2024,25,CIÊNCIA DE ALIMENTOS,57,57
2024,26,DIREITO,136,135
2024,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",187,182
2024,28,ECONOMIA,77,76
2024,29,"ARQUITETURA, URBANISMO E DESIGN",63,62
2024,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,49,49
2024,31,COMUNICAÇÃO E INFORMAÇÃO,95,93
2024,32,SERVIÇO SOCIAL,37,36
2024,33,FILOSOFIA,54,54
2024,34,SOCIOLOGIA,53,52
2024,35,ANTROPOLOGIA / ARQUEOLOGIA,39,38
2024,36,GEOGRAFIA,80,80
2024,37,PSICOLOGIA,102,100
2024,38,EDUCAÇÃO,193,192
2024,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,64,64
2024,40,HISTÓRIA,81,80
2024,41,LINGUÍSTICA E LITERATURA,157,155
2024,42,CIÊNCIAS AGRÁRIAS I,215,215
2024,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,22,22
2024,45,INTERDISCIPLINAR,379,372
2024,46,ENSINO,181,179
2024,47,MATERIAIS,45,45
2024,48,BIOTECNOLOGIA,64,62
2024,49,CIÊNCIAS AMBIENTAIS,137,136
2024,50,NUTRIÇÃO,34,34
2024,51,CIÊNCIAS E HUMANIDADES PARA A EDUCAÇÃO BÁSICA,13,13
