AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_PROGRAMAS_DISTINTOS,CONTAGEM_PROGRAMAS_ATIVOS_DISTINTOS
2015,29,"ARQUITETURA, URBANISMO E DESIGN",56,56
2015,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,41,41
2015,31,COMUNICAÇÃO E INFORMAÇÃO,67,67
2015,32,SERVIÇO SOCIAL,33,32
2015,33,FILOSOFIA,45,44
2015,34,SOCIOLOGIA,51,51
2015,35,ANTROPOLOGIA / ARQUEOLOGIA,28,28
2015,36,GEOGRAFIA,62,62
2015,37,PSICOLOGIA,80,80
2015,38,EDUCAÇÃO,163,163
2015,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,40,40
2015,40,HISTÓRIA,70,69
2015,41,LETRAS / LINGUÍSTICA,146,146
2015,42,CIÊNCIAS AGRÁRIAS I,218,218
2015,44,TEOLOGIA,21,21
2015,45,INTERDISCIPLINAR,297,295
2015,46,ENSINO,129,128
2015,47,MATERIAIS,32,32
2015,48,BIOTECNOLOGIA,56,56
2015,49,CIÊNCIAS AMBIENTAIS,105,103
2015,50,NUTRIÇÃO,26,26
2016,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,59,59
2016,2,CIÊNCIA DA COMPUTAÇÃO,77,77
2016,3,ASTRONOMIA / FÍSICA,63,63
2016,4,QUÍMICA,69,69
2016,5,GEOCIÊNCIAS,55,55
2016,6,CIÊNCIAS BIOLÓGICAS I,65,63
2016,7,BIODIVERSIDADE,142,141
2016,8,CIÊNCIAS BIOLÓGICAS II,73,73
2016,9,CIÊNCIAS BIOLÓGICAS III,35,35
2016,10,ENGENHARIAS I,115,115
2016,11,ARTES / MÚSICA,56,56
2016,12,ENGENHARIAS II,93,93
2016,13,ENGENHARIAS III,127,126
2016,14,ENGENHARIAS IV,87,85
2016,15,MEDICINA I,95,95
2016,16,MEDICINA II,100,100
2016,17,MEDICINA III,47,47
2016,18,ODONTOLOGIA,102,101
2016,19,FARMÁCIA,64,64
2016,20,ENFERMAGEM,74,74
2016,21,EDUCAÇÃO FÍSICA,63,62
2016,22,SAÚDE COLETIVA,87,87
2016,23,ZOOTECNIA / RECURSOS PESQUEIROS,69,69
2016,24,MEDICINA VETERINÁRIA,76,76
2016,25,CIÊNCIA DE ALIMENTOS,57,57
2016,26,DIREITO,99,99
2016,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",182,182
2016,28,ECONOMIA,66,66
2016,29,"ARQUITETURA, URBANISMO E DESIGN",59,59
2016,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,46,46
2016,31,COMUNICAÇÃO E INFORMAÇÃO,76,76
2016,32,SERVIÇO SOCIAL,35,34
2016,33,FILOSOFIA,46,45
2016,34,SOCIOLOGIA,53,53
2016,35,ANTROPOLOGIA / ARQUEOLOGIA,29,29
2016,36,GEOGRAFIA,64,64
2016,37,PSICOLOGIA,85,85
2016,38,EDUCAÇÃO,170,170
2016,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,43,43
2016,40,HISTÓRIA,71,71
2016,41,LETRAS / LINGUÍSTICA,154,154
2016,42,CIÊNCIAS AGRÁRIAS I,223,223
2016,44,TEOLOGIA,21,21
2016,45,INTERDISCIPLINAR,336,335
2016,46,ENSINO,141,140
2016,47,MATERIAIS,36,36
2016,48,BIOTECNOLOGIA,60,60
2016,49,CIÊNCIAS AMBIENTAIS,114,114
2016,50,NUTRIÇÃO,27,27
2017,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,59,59
2017,2,CIÊNCIA DA COMPUTAÇÃO,78,77
2017,3,ASTRONOMIA / FÍSICA,62,61
2017,4,QUÍMICA,73,72
2017,5,GEOCIÊNCIAS,57,57
2017,6,CIÊNCIAS BIOLÓGICAS I,64,63
2017,7,BIODIVERSIDADE,145,142
2017,8,CIÊNCIAS BIOLÓGICAS II,77,76
2017,9,CIÊNCIAS BIOLÓGICAS III,36,35
2017,10,ENGENHARIAS I,124,121
2017,11,ARTES,59,57
2017,12,ENGENHARIAS II,96,93
2017,13,ENGENHARIAS III,128,120
2017,14,ENGENHARIAS IV,90,90
2017,15,MEDICINA I,102,98
2017,16,MEDICINA II,106,104
2017,17,MEDICINA III,49,48
2017,18,ODONTOLOGIA,104,101
2017,19,FARMÁCIA,67,67
