ANO,TESES_INTERDISCIPLINAR,EGRESSOS_DISCENTES_AREA45,RATIO_DISCENTES_DIV_TESES,OUTLIER_IQR
2004,1358,1338,0.985272,NAO
2005,1780,1764,0.991011,NAO
2006,1888,1875,0.993114,NAO
2007,1981,1923,0.970722,NAO
2008,2435,2414,0.991376,NAO
2009,2629,2578,0.980601,NAO
2010,2694,2087,0.774684,SIM
2011,2439,2387,0.978680,NAO
2012,2938,2861,0.973792,NAO
