AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_DISCENTES
2006,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,950
2006,40,HISTÓRIA,3149
2006,41,LETRAS / LINGUÍSTICA,3909
2006,42,CIÊNCIAS AGRÁRIAS I,5999
2006,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,829
2006,45,INTERDISCIPLINAR,2670
2006,46,ENSINO,1161
2007,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,1673
2007,2,CIÊNCIA DA COMPUTAÇÃO,3513
2007,3,ASTRONOMIA / FÍSICA,2901
2007,4,QUÍMICA,4529
2007,5,GEOCIÊNCIAS,2571
2007,6,CIÊNCIAS BIOLÓGICAS I,5073
2007,7,BIODIVERSIDADE,1933
2007,8,CIÊNCIAS BIOLÓGICAS II,4758
2007,9,CIÊNCIAS BIOLÓGICAS III,1978
2007,10,ENGENHARIAS I,4511
2007,11,ARTES / MÚSICA,1426
2007,12,ENGENHARIAS II,4814
2007,13,ENGENHARIAS III,4611
2007,14,ENGENHARIAS IV,4803
2007,15,MEDICINA I,4539
2007,16,MEDICINA II,4460
2007,17,MEDICINA III,2280
2007,18,ODONTOLOGIA,3183
2007,19,FARMÁCIA,2312
2007,20,ENFERMAGEM,2565
2007,21,EDUCAÇÃO FÍSICA,2083
2007,22,SAÚDE COLETIVA,3158
2007,23,ZOOTECNIA / RECURSOS PESQUEIROS,3441
2007,24,MEDICINA VETERINÁRIA,3327
2007,25,CIÊNCIA DE ALIMENTOS,2255
2007,26,DIREITO,5028
2007,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",3648
2007,28,ECONOMIA,2099
2007,29,ARQUITETURA E URBANISMO,2237
2007,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,976
2007,31,CIÊNCIAS SOCIAIS APLICADAS I,2327
2007,32,SERVIÇO SOCIAL,1558
2007,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,1719
2007,34,SOCIOLOGIA,2885
2007,35,ANTROPOLOGIA / ARQUEOLOGIA,1068
2007,36,GEOGRAFIA,2760
2007,37,PSICOLOGIA,3863
2007,38,EDUCAÇÃO,6040
2007,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,834
2007,40,HISTÓRIA,3478
2007,41,LETRAS / LINGUÍSTICA,4335
2007,42,CIÊNCIAS AGRÁRIAS I,6248
2007,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,866
2007,45,INTERDISCIPLINAR,2754
2007,46,ENSINO,1409
2007,47,MATERIAIS,778
2007,48,BIOTECNOLOGIA,1601
2008,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,1742
2008,2,CIÊNCIA DA COMPUTAÇÃO,3793
2008,3,ASTRONOMIA / FÍSICA,2989
2008,4,QUÍMICA,4746
2008,5,GEOCIÊNCIAS,2802
2008,6,CIÊNCIAS BIOLÓGICAS I,5445
2008,7,BIODIVERSIDADE,2181
2008,8,CIÊNCIAS BIOLÓGICAS II,4813
2008,9,CIÊNCIAS BIOLÓGICAS III,2008
2008,10,ENGENHARIAS I,4519
2008,11,ARTES / MÚSICA,1521
2008,12,ENGENHARIAS II,4807
2008,13,ENGENHARIAS III,4903
2008,14,ENGENHARIAS IV,4909
2008,15,MEDICINA I,4920
2008,16,MEDICINA II,4754
2008,17,MEDICINA III,2327
