AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_PROGRAMAS_PROXY_DISCENTES
2016,23,ZOOTECNIA / RECURSOS PESQUEIROS,69
2016,24,MEDICINA VETERINÁRIA,76
2016,25,CIÊNCIA DE ALIMENTOS,57
2016,26,DIREITO,99
2016,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",182
2016,28,ECONOMIA,66
2016,29,"ARQUITETURA, URBANISMO E DESIGN",59
2016,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,46
2016,31,COMUNICAÇÃO E INFORMAÇÃO,76
2016,32,SERVIÇO SOCIAL,35
2016,33,FILOSOFIA,46
2016,34,SOCIOLOGIA,53
2016,35,ANTROPOLOGIA / ARQUEOLOGIA,29
2016,36,GEOGRAFIA,64
2016,37,PSICOLOGIA,85
2016,38,EDUCAÇÃO,170
2016,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,43
2016,40,HISTÓRIA,71
2016,41,LETRAS / LINGUÍSTICA,154
2016,42,CIÊNCIAS AGRÁRIAS I,223
2016,44,TEOLOGIA,21
2016,45,INTERDISCIPLINAR,336
2016,46,ENSINO,141
2016,47,MATERIAIS,36
2016,48,BIOTECNOLOGIA,60
2016,49,CIÊNCIAS AMBIENTAIS,114
2016,50,NUTRIÇÃO,27
2017,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,58
2017,2,CIÊNCIA DA COMPUTAÇÃO,78
2017,3,ASTRONOMIA / FÍSICA,62
2017,4,QUÍMICA,73
2017,5,GEOCIÊNCIAS,57
2017,6,CIÊNCIAS BIOLÓGICAS I,64
2017,7,BIODIVERSIDADE,145
2017,8,CIÊNCIAS BIOLÓGICAS II,77
2017,9,CIÊNCIAS BIOLÓGICAS III,36
2017,10,ENGENHARIAS I,123
2017,11,ARTES,59
2017,12,ENGENHARIAS II,96
2017,13,ENGENHARIAS III,128
2017,14,ENGENHARIAS IV,90
2017,15,MEDICINA I,102
2017,16,MEDICINA II,106
2017,17,MEDICINA III,49
2017,18,ODONTOLOGIA,104
2017,19,FARMÁCIA,67
2017,20,ENFERMAGEM,76
2017,21,EDUCAÇÃO FÍSICA,67
2017,22,SAÚDE COLETIVA,88
2017,23,ZOOTECNIA / RECURSOS PESQUEIROS,70
2017,24,MEDICINA VETERINÁRIA,83
2017,25,CIÊNCIA DE ALIMENTOS,58
2017,26,DIREITO,105
2017,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",188
2017,28,ECONOMIA,70
2017,29,"ARQUITETURA, URBANISMO E DESIGN",66
2017,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,46
2017,31,COMUNICAÇÃO E INFORMAÇÃO,84
2017,32,SERVIÇO SOCIAL,34
2017,33,FILOSOFIA,45
2017,34,SOCIOLOGIA,53
2017,35,ANTROPOLOGIA / ARQUEOLOGIA,31
2017,36,GEOGRAFIA,65
2017,37,PSICOLOGIA,92
2017,38,EDUCAÇÃO,176
2017,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,48
2017,40,HISTÓRIA,72
2017,41,LINGUÍSTICA E LITERATURA,155
2017,42,CIÊNCIAS AGRÁRIAS I,224
2017,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,21
2017,45,INTERDISCIPLINAR,348
2017,46,ENSINO,154
2017,47,MATERIAIS,36
2017,48,BIOTECNOLOGIA,63
2017,49,CIÊNCIAS AMBIENTAIS,121
2017,50,NUTRIÇÃO,32
2018,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,59
2018,2,CIÊNCIA DA COMPUTAÇÃO,77
2018,3,ASTRONOMIA / FÍSICA,64
2018,4,QUÍMICA,73
2018,5,GEOCIÊNCIAS,56
2018,6,CIÊNCIAS BIOLÓGICAS I,64
2018,7,BIODIVERSIDADE,145
2018,8,CIÊNCIAS BIOLÓGICAS II,76
2018,9,CIÊNCIAS BIOLÓGICAS III,36
2018,10,ENGENHARIAS I,124
2018,11,ARTES,59
2018,12,ENGENHARIAS II,96
2018,13,ENGENHARIAS III,127
2018,14,ENGENHARIAS IV,92
2018,15,MEDICINA I,101
2018,16,MEDICINA II,105
2018,17,MEDICINA III,49
2018,18,ODONTOLOGIA,105
2018,19,FARMÁCIA,69
2018,20,ENFERMAGEM,75
2018,21,EDUCAÇÃO FÍSICA,68
2018,22,SAÚDE COLETIVA,89
2018,23,ZOOTECNIA / RECURSOS PESQUEIROS,69
2018,24,MEDICINA VETERINÁRIA,83
2018,25,CIÊNCIA DE ALIMENTOS,58
2018,26,DIREITO,106
2018,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",187
2018,28,ECONOMIA,69
2018,29,"ARQUITETURA, URBANISMO E DESIGN",66
2018,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,46
2018,31,COMUNICAÇÃO E INFORMAÇÃO,86
2018,32,SERVIÇO SOCIAL,33
2018,33,FILOSOFIA,46
2018,34,SOCIOLOGIA,53
2018,35,ANTROPOLOGIA / ARQUEOLOGIA,33
2018,36,GEOGRAFIA,65
2018,37,PSICOLOGIA,92
2018,38,EDUCAÇÃO,176
2018,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,51
2018,40,HISTÓRIA,72
2018,41,LINGUÍSTICA E LITERATURA,153
2018,42,CIÊNCIAS AGRÁRIAS I,224
2018,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,21
2018,45,INTERDISCIPLINAR,353
2018,46,ENSINO,156
2018,47,MATERIAIS,36
2018,48,BIOTECNOLOGIA,63
2018,49,CIÊNCIAS AMBIENTAIS,122
2018,50,NUTRIÇÃO,32
2019,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,59
2019,2,CIÊNCIA DA COMPUTAÇÃO,85
2019,3,ASTRONOMIA / FÍSICA,64
2019,4,QUÍMICA,74
2019,5,GEOCIÊNCIAS,58
2019,6,CIÊNCIAS BIOLÓGICAS I,62
2019,7,BIODIVERSIDADE,145
2019,8,CIÊNCIAS BIOLÓGICAS II,78
2019,9,CIÊNCIAS BIOLÓGICAS III,36
2019,10,ENGENHARIAS I,125
2019,11,ARTES,69
2019,12,ENGENHARIAS II,97
2019,13,ENGENHARIAS III,135
2019,14,ENGENHARIAS IV,93
2019,15,MEDICINA I,106
2019,16,MEDICINA II,106
2019,17,MEDICINA III,50
2019,18,ODONTOLOGIA,104
2019,19,FARMÁCIA,70
2019,20,ENFERMAGEM,78
2019,21,EDUCAÇÃO FÍSICA,74
2019,22,SAÚDE COLETIVA,93
2019,23,ZOOTECNIA / RECURSOS PESQUEIROS,71
2019,24,MEDICINA VETERINÁRIA,85
2019,25,CIÊNCIA DE ALIMENTOS,61
2019,26,DIREITO,118
2019,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",191
2019,28,ECONOMIA,75
2019,29,"ARQUITETURA, URBANISMO E DESIGN",66
2019,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,50
2019,31,COMUNICAÇÃO E INFORMAÇÃO,91
2019,32,SERVIÇO SOCIAL,36
2019,33,FILOSOFIA,51
2019,34,SOCIOLOGIA,55
2019,35,ANTROPOLOGIA / ARQUEOLOGIA,37
2019,36,GEOGRAFIA,76
2019,37,PSICOLOGIA,99
2019,38,EDUCAÇÃO,184
2019,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,58
2019,40,HISTÓRIA,81
2019,41,LINGUÍSTICA E LITERATURA,161
2019,42,CIÊNCIAS AGRÁRIAS I,223
2019,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,20
2019,45,INTERDISCIPLINAR,366
2019,46,ENSINO,174
2019,47,MATERIAIS,41
2019,48,BIOTECNOLOGIA,68
2019,49,CIÊNCIAS AMBIENTAIS,134
2019,50,NUTRIÇÃO,35
2020,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,60
2020,2,CIÊNCIA DA COMPUTAÇÃO,86
2020,3,ASTRONOMIA / FÍSICA,64
2020,4,QUÍMICA,75
2020,5,GEOCIÊNCIAS,57
2020,6,CIÊNCIAS BIOLÓGICAS I,61
2020,7,BIODIVERSIDADE,144
2020,8,CIÊNCIAS BIOLÓGICAS II,79
2020,9,CIÊNCIAS BIOLÓGICAS III,36
2020,10,ENGENHARIAS I,126
2020,11,ARTES,68
2020,12,ENGENHARIAS II,95
2020,13,ENGENHARIAS III,128
2020,14,ENGENHARIAS IV,94
2020,15,MEDICINA I,110
2020,16,MEDICINA II,107
2020,17,MEDICINA III,51
2020,18,ODONTOLOGIA,100
2020,19,FARMÁCIA,69
2020,20,ENFERMAGEM,78
2020,21,EDUCAÇÃO FÍSICA,75
2020,22,SAÚDE COLETIVA,95
2020,23,ZOOTECNIA / RECURSOS PESQUEIROS,64
2020,24,MEDICINA VETERINÁRIA,83
2020,25,CIÊNCIA DE ALIMENTOS,60
2020,26,DIREITO,125
2020,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",189
2020,28,ECONOMIA,74
2020,29,"ARQUITETURA, URBANISMO E DESIGN",66
2020,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,49
2020,31,COMUNICAÇÃO E INFORMAÇÃO,91
2020,32,SERVIÇO SOCIAL,36
2020,33,FILOSOFIA,52
2020,34,SOCIOLOGIA,53
2020,35,ANTROPOLOGIA / ARQUEOLOGIA,37
2020,36,GEOGRAFIA,76
2020,37,PSICOLOGIA,101
2020,38,EDUCAÇÃO,185
2020,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,59
2020,40,HISTÓRIA,80
2020,41,LINGUÍSTICA E LITERATURA,157
2020,42,CIÊNCIAS AGRÁRIAS I,217
2020,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,21
2020,45,INTERDISCIPLINAR,365
2020,46,ENSINO,177
2020,47,MATERIAIS,41
2020,48,BIOTECNOLOGIA,66
2020,49,CIÊNCIAS AMBIENTAIS,137
2020,50,NUTRIÇÃO,36
2021,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,60
2021,2,CIÊNCIA DA COMPUTAÇÃO,88
2021,3,ASTRONOMIA / FÍSICA,66
2021,4,QUÍMICA,78
2021,5,GEOCIÊNCIAS,58
2021,6,CIÊNCIAS BIOLÓGICAS I,62
2021,7,BIODIVERSIDADE,146
2021,8,CIÊNCIAS BIOLÓGICAS II,79
2021,9,CIÊNCIAS BIOLÓGICAS III,36
2021,10,ENGENHARIAS I,131
2021,11,ARTES,69
2021,12,ENGENHARIAS II,98
2021,13,ENGENHARIAS III,133
2021,14,ENGENHARIAS IV,93
2021,15,MEDICINA I,114
2021,16,MEDICINA II,108
2021,17,MEDICINA III,53
2021,18,ODONTOLOGIA,103
2021,19,FARMÁCIA,69
2021,20,ENFERMAGEM,78
2021,21,EDUCAÇÃO FÍSICA,81
2021,22,SAÚDE COLETIVA,97
2021,23,ZOOTECNIA / RECURSOS PESQUEIROS,64
2021,24,MEDICINA VETERINÁRIA,87
2021,25,CIÊNCIA DE ALIMENTOS,61
2021,26,DIREITO,133
2021,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",193
2021,28,ECONOMIA,77
2021,29,"ARQUITETURA, URBANISMO E DESIGN",67
2021,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,50
2021,31,COMUNICAÇÃO E INFORMAÇÃO,91
2021,32,SERVIÇO SOCIAL,37
2021,33,FILOSOFIA,56
2021,34,SOCIOLOGIA,54
2021,35,ANTROPOLOGIA / ARQUEOLOGIA,37
2021,36,GEOGRAFIA,78
2021,37,PSICOLOGIA,102
2021,38,EDUCAÇÃO,191
2021,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,62
2021,40,HISTÓRIA,85
2021,41,LINGUÍSTICA E LITERATURA,162
2021,42,CIÊNCIAS AGRÁRIAS I,223
2021,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,21
2021,45,INTERDISCIPLINAR,389
2021,46,ENSINO,187
2021,47,MATERIAIS,43
2021,48,BIOTECNOLOGIA,68
2021,49,CIÊNCIAS AMBIENTAIS,142
2021,50,NUTRIÇÃO,36
2022,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,60
2022,2,CIÊNCIA DA COMPUTAÇÃO,88
2022,3,ASTRONOMIA / FÍSICA,63
2022,4,QUÍMICA,76
2022,5,GEOCIÊNCIAS,58
2022,6,CIÊNCIAS BIOLÓGICAS I,62
2022,7,BIODIVERSIDADE,142
2022,8,CIÊNCIAS BIOLÓGICAS II,77
2022,9,CIÊNCIAS BIOLÓGICAS III,36
2022,10,ENGENHARIAS I,126
2022,11,ARTES,70
2022,12,ENGENHARIAS II,93
2022,13,ENGENHARIAS III,126
2022,14,ENGENHARIAS IV,92
2022,15,MEDICINA I,112
2022,16,MEDICINA II,108
2022,17,MEDICINA III,52
2022,18,ODONTOLOGIA,98
2022,19,FARMÁCIA,69
2022,20,ENFERMAGEM,79
2022,21,EDUCAÇÃO FÍSICA,80
2022,22,SAÚDE COLETIVA,97
2022,23,ZOOTECNIA / RECURSOS PESQUEIROS,61
2022,24,MEDICINA VETERINÁRIA,85
2022,25,CIÊNCIA DE ALIMENTOS,59
2022,26,DIREITO,131
2022,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",188
2022,28,ECONOMIA,76
2022,29,"ARQUITETURA, URBANISMO E DESIGN",65
2022,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,47
2022,31,COMUNICAÇÃO E INFORMAÇÃO,89
2022,32,SERVIÇO SOCIAL,36
2022,33,FILOSOFIA,54
2022,34,SOCIOLOGIA,52
2022,35,ANTROPOLOGIA / ARQUEOLOGIA,37
2022,36,GEOGRAFIA,77
2022,37,PSICOLOGIA,102
2022,38,EDUCAÇÃO,191
2022,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,60
2022,40,HISTÓRIA,82
2022,41,LINGUÍSTICA E LITERATURA,157
2022,42,CIÊNCIAS AGRÁRIAS I,216
2022,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,21
2022,45,INTERDISCIPLINAR,375
2022,46,ENSINO,182
2022,47,MATERIAIS,42
2022,48,BIOTECNOLOGIA,66
2022,49,CIÊNCIAS AMBIENTAIS,138
2022,50,NUTRIÇÃO,34
2023,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,60
2023,2,CIÊNCIA DA COMPUTAÇÃO,88
2023,3,ASTRONOMIA / FÍSICA,65
2023,4,QUÍMICA,76
2023,5,GEOCIÊNCIAS,58
2023,6,CIÊNCIAS BIOLÓGICAS I,62
2023,7,BIODIVERSIDADE,145
2023,8,CIÊNCIAS BIOLÓGICAS II,77
2023,9,CIÊNCIAS BIOLÓGICAS III,36
2023,10,ENGENHARIAS I,128
2023,11,ARTES,70
2023,12,ENGENHARIAS II,96
2023,13,ENGENHARIAS III,129
2023,14,ENGENHARIAS IV,91
2023,15,MEDICINA I,113
2023,16,MEDICINA II,108
2023,17,MEDICINA III,53
2023,18,ODONTOLOGIA,99
2023,19,FARMÁCIA,69
2023,20,ENFERMAGEM,79
2023,21,EDUCAÇÃO FÍSICA,80
2023,22,SAÚDE COLETIVA,97
2023,23,ZOOTECNIA / RECURSOS PESQUEIROS,64
2023,24,MEDICINA VETERINÁRIA,86
2023,25,CIÊNCIA DE ALIMENTOS,61
2023,26,DIREITO,131
2023,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",188
2023,28,ECONOMIA,77
2023,29,"ARQUITETURA, URBANISMO E DESIGN",65
2023,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,48
2023,31,COMUNICAÇÃO E INFORMAÇÃO,90
2023,32,SERVIÇO SOCIAL,36
2023,33,FILOSOFIA,56
2023,34,SOCIOLOGIA,53
2023,35,ANTROPOLOGIA / ARQUEOLOGIA,37
2023,36,GEOGRAFIA,77
2023,37,PSICOLOGIA,102
2023,38,EDUCAÇÃO,191
2023,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,60
2023,40,HISTÓRIA,84
2023,41,LINGUÍSTICA E LITERATURA,159
2023,42,CIÊNCIAS AGRÁRIAS I,220
2023,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,21
2023,45,INTERDISCIPLINAR,380
2023,46,ENSINO,183
2023,47,MATERIAIS,42
2023,48,BIOTECNOLOGIA,66
2023,49,CIÊNCIAS AMBIENTAIS,141
2023,50,NUTRIÇÃO,35
2024,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,60
2024,2,COMPUTAÇÃO,88
2024,3,ASTRONOMIA / FÍSICA,63
2024,4,QUÍMICA,76
2024,5,GEOCIÊNCIAS,58
2024,6,CIÊNCIAS BIOLÓGICAS I,61
2024,7,BIODIVERSIDADE,141
2024,8,CIÊNCIAS BIOLÓGICAS II,77
2024,9,CIÊNCIAS BIOLÓGICAS III,37
2024,10,ENGENHARIAS I,126
2024,11,ARTES,73
2024,12,ENGENHARIAS II,94
2024,13,ENGENHARIAS III,126
2024,14,ENGENHARIAS IV,90
2024,15,MEDICINA I,111
2024,16,MEDICINA II,108
2024,17,MEDICINA III,51
2024,18,ODONTOLOGIA,100
2024,19,FARMÁCIA,70
2024,20,ENFERMAGEM,81
2024,21,"EDUCAÇÃO FÍSICA, FISIOTERAPIA, FONOAUDIOLOGIA E TERAPIA OCUPACIONAL",83
2024,22,SAÚDE COLETIVA,98
2024,23,ZOOTECNIA / RECURSOS PESQUEIROS,61
2024,24,MEDICINA VETERINÁRIA,87
2024,25,CIÊNCIA DE ALIMENTOS,57
2024,26,DIREITO,136
2024,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",186
2024,28,ECONOMIA,77
2024,29,"ARQUITETURA, URBANISMO E DESIGN",63
2024,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,49
2024,31,COMUNICAÇÃO E INFORMAÇÃO,95
2024,32,SERVIÇO SOCIAL,37
2024,33,FILOSOFIA,54
2024,34,SOCIOLOGIA,53
2024,35,ANTROPOLOGIA / ARQUEOLOGIA,39
2024,36,GEOGRAFIA,80
2024,37,PSICOLOGIA,102
2024,38,EDUCAÇÃO,193
2024,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,64
2024,40,HISTÓRIA,81
2024,41,LINGUÍSTICA E LITERATURA,157
2024,42,CIÊNCIAS AGRÁRIAS I,214
2024,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,22
2024,45,INTERDISCIPLINAR,378
2024,46,ENSINO,181
2024,47,MATERIAIS,45
2024,48,BIOTECNOLOGIA,64
2024,49,CIÊNCIAS AMBIENTAIS,137
2024,50,NUTRIÇÃO,34
2024,51,CIÊNCIAS E HUMANIDADES PARA A EDUCAÇÃO BÁSICA,13
