AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_PROGRAMAS_PROXY_DISCENTES
2006,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,12
2006,45,INTERDISCIPLINAR,146
2006,46,ENSINO,30
2007,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,40
2007,2,CIÊNCIA DA COMPUTAÇÃO,49
2007,3,ASTRONOMIA / FÍSICA,51
2007,4,QUÍMICA,59
2007,5,GEOCIÊNCIAS,44
2007,6,CIÊNCIAS BIOLÓGICAS I,97
2007,7,BIODIVERSIDADE,29
2007,8,CIÊNCIAS BIOLÓGICAS II,53
2007,9,CIÊNCIAS BIOLÓGICAS III,22
2007,10,ENGENHARIAS I,74
2007,11,ARTES / MÚSICA,34
2007,12,ENGENHARIAS II,62
2007,13,ENGENHARIAS III,83
2007,14,ENGENHARIAS IV,55
2007,15,MEDICINA I,69
2007,16,MEDICINA II,81
2007,17,MEDICINA III,44
2007,18,ODONTOLOGIA,83
2007,19,FARMÁCIA,28
2007,20,ENFERMAGEM,29
2007,21,EDUCAÇÃO FÍSICA,34
2007,22,SAÚDE COLETIVA,40
2007,23,ZOOTECNIA / RECURSOS PESQUEIROS,38
2007,24,MEDICINA VETERINÁRIA,40
2007,25,CIÊNCIA DE ALIMENTOS,33
2007,26,DIREITO,60
2007,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",94
2007,28,ECONOMIA,47
2007,29,ARQUITETURA E URBANISMO,26
2007,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,22
2007,31,CIÊNCIAS SOCIAIS APLICADAS I,37
2007,32,SERVIÇO SOCIAL,25
2007,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,31
2007,34,SOCIOLOGIA,40
2007,35,ANTROPOLOGIA / ARQUEOLOGIA,17
2007,36,GEOGRAFIA,36
2007,37,PSICOLOGIA,56
2007,38,EDUCAÇÃO,83
2007,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,17
2007,40,HISTÓRIA,51
2007,41,LETRAS / LINGUÍSTICA,100
2007,42,CIÊNCIAS AGRÁRIAS I,151
2007,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,13
2007,45,INTERDISCIPLINAR,160
2007,46,ENSINO,41
2007,47,MATERIAIS,11
2007,48,BIOTECNOLOGIA,21
2008,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,45
2008,2,CIÊNCIA DA COMPUTAÇÃO,50
2008,3,ASTRONOMIA / FÍSICA,55
2008,4,QUÍMICA,57
2008,5,GEOCIÊNCIAS,46
2008,6,CIÊNCIAS BIOLÓGICAS I,101
2008,7,BIODIVERSIDADE,35
2008,8,CIÊNCIAS BIOLÓGICAS II,55
2008,9,CIÊNCIAS BIOLÓGICAS III,23
2008,10,ENGENHARIAS I,78
2008,11,ARTES / MÚSICA,35
2008,12,ENGENHARIAS II,63
2008,13,ENGENHARIAS III,86
2008,14,ENGENHARIAS IV,56
2008,15,MEDICINA I,71
2008,16,MEDICINA II,85
2008,17,MEDICINA III,42
2008,18,ODONTOLOGIA,90
2008,19,FARMÁCIA,31
2008,20,ENFERMAGEM,32
2008,21,EDUCAÇÃO FÍSICA,35
2008,22,SAÚDE COLETIVA,48
2008,23,ZOOTECNIA / RECURSOS PESQUEIROS,44
2008,24,MEDICINA VETERINÁRIA,44
2008,25,CIÊNCIA DE ALIMENTOS,34
2008,26,DIREITO,62
2008,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",96
2008,28,ECONOMIA,48
2008,29,ARQUITETURA E URBANISMO,29
2008,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,22
2008,31,CIÊNCIAS SOCIAIS APLICADAS I,44
2008,32,SERVIÇO SOCIAL,25
2008,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,35
2008,34,SOCIOLOGIA,41
2008,35,ANTROPOLOGIA / ARQUEOLOGIA,18
2008,36,GEOGRAFIA,38
2008,37,PSICOLOGIA,60
2008,38,EDUCAÇÃO,86
2008,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,21
2008,40,HISTÓRIA,53
2008,41,LETRAS / LINGUÍSTICA,104
2008,42,CIÊNCIAS AGRÁRIAS I,160
2008,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,14
2008,45,INTERDISCIPLINAR,188
2008,46,ENSINO,50
2008,47,MATERIAIS,12
2008,48,BIOTECNOLOGIA,22
2009,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,46
2009,2,CIÊNCIA DA COMPUTAÇÃO,49
2009,3,ASTRONOMIA / FÍSICA,56
2009,4,QUÍMICA,58
2009,5,GEOCIÊNCIAS,48
2009,6,CIÊNCIAS BIOLÓGICAS I,105
2009,7,BIODIVERSIDADE,37
2009,8,CIÊNCIAS BIOLÓGICAS II,58
2009,9,CIÊNCIAS BIOLÓGICAS III,24
2009,10,ENGENHARIAS I,86
2009,11,ARTES / MÚSICA,37
2009,12,ENGENHARIAS II,67
2009,13,ENGENHARIAS III,95
2009,14,ENGENHARIAS IV,60
2009,15,MEDICINA I,71
2009,16,MEDICINA II,86
2009,17,MEDICINA III,43
2009,18,ODONTOLOGIA,93
2009,19,FARMÁCIA,34
2009,20,ENFERMAGEM,35
2009,21,EDUCAÇÃO FÍSICA,37
2009,22,SAÚDE COLETIVA,50
2009,23,ZOOTECNIA / RECURSOS PESQUEIROS,48
2009,24,MEDICINA VETERINÁRIA,48
2009,25,CIÊNCIA DE ALIMENTOS,38
2009,26,DIREITO,65
2009,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",100
2009,28,ECONOMIA,50
2009,29,ARQUITETURA E URBANISMO,30
2009,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,23
2009,31,CIÊNCIAS SOCIAIS APLICADAS I,49
2009,32,SERVIÇO SOCIAL,27
2009,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,36
2009,34,SOCIOLOGIA,42
2009,35,ANTROPOLOGIA / ARQUEOLOGIA,21
2009,36,GEOGRAFIA,41
2009,37,PSICOLOGIA,64
2009,38,EDUCAÇÃO,93
2009,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,26
2009,40,HISTÓRIA,53
2009,41,LETRAS / LINGUÍSTICA,110
2009,42,CIÊNCIAS AGRÁRIAS I,166
2009,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,15
2009,45,INTERDISCIPLINAR,205
2009,46,ENSINO,55
2009,47,MATERIAIS,15
2009,48,BIOTECNOLOGIA,23
2010,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,52
2010,2,CIÊNCIA DA COMPUTAÇÃO,54
2010,3,ASTRONOMIA / FÍSICA,57
2010,4,QUÍMICA,58
2010,5,GEOCIÊNCIAS,49
2010,6,CIÊNCIAS BIOLÓGICAS I,57
2010,7,BIODIVERSIDADE,103
2010,8,CIÊNCIAS BIOLÓGICAS II,55
2010,9,CIÊNCIAS BIOLÓGICAS III,26
2010,10,ENGENHARIAS I,86
2010,11,ARTES / MÚSICA,37
2010,12,ENGENHARIAS II,69
2010,13,ENGENHARIAS III,98
2010,14,ENGENHARIAS IV,67
2010,15,MEDICINA I,67
2010,16,MEDICINA II,71
2010,17,MEDICINA III,38
2010,18,ODONTOLOGIA,89
2010,19,FARMÁCIA,40
2010,20,ENFERMAGEM,43
2010,21,EDUCAÇÃO FÍSICA,40
2010,22,SAÚDE COLETIVA,51
2010,23,ZOOTECNIA / RECURSOS PESQUEIROS,51
2010,24,MEDICINA VETERINÁRIA,49
2010,25,CIÊNCIA DE ALIMENTOS,39
2010,26,DIREITO,61
2010,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",104
2010,28,ECONOMIA,51
2010,29,ARQUITETURA E URBANISMO,36
2010,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,28
2010,31,CIÊNCIAS SOCIAIS APLICADAS I,50
2010,32,SERVIÇO SOCIAL,27
2010,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,37
2010,34,SOCIOLOGIA,47
2010,35,ANTROPOLOGIA / ARQUEOLOGIA,21
2010,36,GEOGRAFIA,41
2010,37,PSICOLOGIA,63
2010,38,EDUCAÇÃO,98
2010,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,26
2010,40,HISTÓRIA,54
2010,41,LETRAS / LINGUÍSTICA,123
2010,42,CIÊNCIAS AGRÁRIAS I,176
2010,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,15
2010,45,INTERDISCIPLINAR,169
2010,46,ENSINO,57
2010,47,MATERIAIS,19
2010,48,BIOTECNOLOGIA,26
2010,49,CIÊNCIAS AMBIENTAIS,47
2010,50,NUTRIÇÃO,16
2011,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,54
2011,2,CIÊNCIA DA COMPUTAÇÃO,58
2011,3,ASTRONOMIA / FÍSICA,57
2011,4,QUÍMICA,60
2011,5,GEOCIÊNCIAS,49
2011,6,CIÊNCIAS BIOLÓGICAS I,61
2011,7,BIODIVERSIDADE,118
2011,8,CIÊNCIAS BIOLÓGICAS II,59
2011,9,CIÊNCIAS BIOLÓGICAS III,28
2011,10,ENGENHARIAS I,93
2011,11,ARTES / MÚSICA,39
2011,12,ENGENHARIAS II,75
2011,13,ENGENHARIAS III,106
2011,14,ENGENHARIAS IV,71
2011,15,MEDICINA I,76
2011,16,MEDICINA II,76
2011,17,MEDICINA III,39
2011,18,ODONTOLOGIA,94
2011,19,FARMÁCIA,47
2011,20,ENFERMAGEM,52
2011,21,EDUCAÇÃO FÍSICA,45
2011,22,SAÚDE COLETIVA,59
2011,23,ZOOTECNIA / RECURSOS PESQUEIROS,55
2011,24,MEDICINA VETERINÁRIA,53
2011,25,CIÊNCIA DE ALIMENTOS,45
2011,26,DIREITO,66
2011,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",117
2011,28,ECONOMIA,54
2011,29,ARQUITETURA E URBANISMO,37
2011,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,31
2011,31,CIÊNCIAS SOCIAIS APLICADAS I,52
2011,32,SERVIÇO SOCIAL,28
2011,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,40
2011,34,SOCIOLOGIA,49
2011,35,ANTROPOLOGIA / ARQUEOLOGIA,24
2011,36,GEOGRAFIA,47
2011,37,PSICOLOGIA,66
